Ship pt,Product Hierarchy,Part Number,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Algorithm,RMSE,MAPE,Volume,Intermittency
ZTRD,9 Z Z Z,30026783,524.0,3112.0,3074.0,2372.0,1711.0,3587.0,3546.0,2016.0,3332.0,1156.0,3560.0,1842.0,HWES,1106.51,216.33,high,high
ZTRD,9 Z Z Z,30026789,0,2800,0,1426,175,797,102,0,177,0,988,0,FNN,1740.75,95.16,high,medium
ZTRD,9 Z Z Z,30030676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,0,low,low
ZTRD,9 Z Z Z,30030867,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ARIMA,0.36,0,low,low
ZTRD,9 Z Z Z,30032431,30.0,11.0,13.0,10.0,6.0,16.0,15.0,6.0,21.0,6.0,7.0,34.0,HWES,5.74,101.87,low,high
ZTRD,9 Z Z Z,30037746,86.0,40.0,28.0,59.0,39.0,64.0,62.0,31.0,87.0,63.0,77.0,101.0,HWES,24.62,64.2,medium,medium
ZTRD,9 Z Z Z,30037889,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,croston,35.54,267.58,low,medium
ZTRD,9 Z Z Z,30037920,106.0,47.0,54.0,47.0,56.0,54.0,113.0,51.0,53.0,114.0,84.0,89.0,HWES,31.55,110.78,medium,medium
ZTRD,9 Z Z Z,30038359,19.0,17.0,12.0,12.0,14.0,17.0,64.0,17.0,14.0,19.0,16.0,28.0,HWES,15.71,290.51,low,medium
ZTRD,9 Z Z Z,30038557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,0,low,low
ZTRD,9 Z Z Z,30038564,2036.0,874.0,652.0,722.0,889.0,1654.0,824.0,1574.0,1056.0,1048.0,2686.0,2190.0,HWES,625.7,161.27,medium,high
ZTRD,9 Z Z Z,30038871,29.0,12.0,20.0,9.0,18.0,12.0,11.0,6.0,16.0,18.0,18.0,31.0,HWES,6.05,30.38,low,high
ZTRD,9 Z Z Z,30038966,0,0,0,0,0,0,0,0,0,0,0,0,FNN,0.91,0,low,low
ZTRD,9 Z Z Z,30038968,404.0,59.0,96.0,124.0,164.0,121.0,182.0,21.0,207.0,132.0,125.0,364.0,HWES,60.72,25.54,medium,high
ZTRD,9 Z Z Z,30038977,329.0,159.0,322.0,226.0,227.0,305.0,250.0,132.0,214.0,233.0,268.0,237.0,HWES,76.83,61.55,medium,low
ZTRD,9 Z Z Z,30039003,32.0,32.0,70.0,44.0,21.0,51.0,56.0,14.0,67.0,23.0,44.0,98.0,HWES,18.26,129.25,medium,high
ZTRD,9 Z Z Z,30039085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,0,low,low
ZTRD,9 Z Z Z,30039086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,0,low,low
ZTRD,9 Z Z Z,30039317,14.0,9.0,4.0,3.0,5.0,7.0,3.0,6.0,3.0,7.0,3.0,22.0,HWES,4.97,64.35,low,medium
ZTRD,9 Z Z Z,30039319,81.0,53.0,40.0,33.0,52.0,70.0,57.0,45.0,113.0,58.0,49.0,129.0,HWES,25.69,74.88,medium,high
